Month,Department,Account,Budget,Actual
2025-05-01,Marketing,Revenue,163072.0,172352.89
2025-05-01,Marketing,COGS,68490.24,75717.6
2025-05-01,Marketing,Payroll,182880.0,192277.55
2025-05-01,Marketing,Software,28448.0,30104.93
2025-05-01,Marketing,Travel,14224.0,14748.7
2025-05-01,Marketing,Facilities,19304.0,18301.53
2025-05-01,Marketing,Other OpEx,24384.0,22604.36
2025-05-01,R&D,Revenue,122304.0,116451.42
2025-05-01,R&D,COGS,51367.68,50872.67
2025-05-01,R&D,Payroll,256032.0,271443.59
2025-05-01,R&D,Software,39827.2,44309.92
2025-05-01,R&D,Travel,14224.0,13146.56
2025-05-01,R&D,Facilities,19304.0,20215.86
2025-05-01,R&D,Other OpEx,24384.0,24785.05
2025-05-01,Operations,Revenue,101920.0,105758.28
2025-05-01,Operations,COGS,42806.4,44012.54
2025-05-01,Operations,Payroll,182880.0,204802.1
2025-05-01,Operations,Software,28448.0,26600.38
2025-05-01,Operations,Travel,14224.0,14639.61
2025-05-01,Operations,Facilities,19304.0,20605.11
2025-05-01,Operations,Other OpEx,24384.0,26823.36
2025-05-01,G&A,Revenue,71344.0,74087.22
2025-05-01,G&A,COGS,29964.48,31830.03
2025-05-01,G&A,Payroll,182880.0,197264.12
2025-05-01,G&A,Software,28448.0,31378.16
2025-05-01,G&A,Travel,14224.0,14086.98
2025-05-01,G&A,Facilities,19304.0,20404.89
2025-05-01,G&A,Other OpEx,24384.0,26826.48
2025-06-01,Sales,Revenue,463050.0,488301.11
2025-06-01,Sales,COGS,194481.0,204891.32
2025-06-01,Sales,Payroll,183600.0,197940.34
2025-06-01,Sales,Software,28560.0,31207.36
2025-06-01,Sales,Travel,17136.0,17728.25
2025-06-01,Sales,Facilities,19380.0,20251.95
2025-06-01,Sales,Other OpEx,24480.0,24393.5
2025-06-01,Marketing,Revenue,164640.0,167919.87
2025-06-01,Marketing,COGS,69148.8,71585.98
2025-06-01,Marketing,Payroll,183600.0,171857.02
2025-06-01,Marketing,Software,28560.0,29927.48
2025-06-01,Marketing,Travel,14280.0,15974.53
2025-06-01,Marketing,Facilities,19380.0,21239.67
2025-06-01,Marketing,Other OpEx,24480.0,26086.9
2025-06-01,R&D,Revenue,123480.0,123061.69
2025-06-01,R&D,COGS,51861.6,53005.91
2025-06-01,R&D,Payroll,257040.0,266342.43
2025-06-01,R&D,Software,39984.0,40308.05
2025-06-01,R&D,Travel,14280.0,15531.98
2025-06-01,R&D,Facilities,19380.0,18154.34
2025-06-01,R&D,Other OpEx,24480.0,26194.63
2025-06-01,Operations,Revenue,102900.0,98122.84
2025-06-01,Operations,COGS,43218.0,41804.74
2025-06-01,Operations,Payroll,183600.0,186572.73
2025-06-01,Operations,Software,28560.0,27590.23
2025-06-01,Operations,Travel,14280.0,15132.04
2025-06-01,Operations,Facilities,19380.0,19756.94
2025-06-01,Operations,Other OpEx,24480.0,25530.21
2025-06-01,G&A,Revenue,72030.0,76384.62
2025-06-01,G&A,COGS,30252.6,31619.72
2025-06-01,G&A,Payroll,183600.0,169327.2
2025-06-01,G&A,Software,28560.0,27994.7
2025-06-01,G&A,Travel,14280.0,15074.36
2025-06-01,G&A,Facilities,19380.0,18614.78
2025-06-01,G&A,Other OpEx,24480.0,23352.0
2025-07-01,Sales,Revenue,467460.0,494893.63
2025-07-01,Sales,COGS,196333.2,211863.79
2025-07-01,Sales,Payroll,184320.0,185865.8
2025-07-01,Sales,Software,28672.0,31491.76
2025-07-01,Sales,Travel,17203.2,16951.9
2025-07-01,Sales,Facilities,19456.0,20490.67
2025-07-01,Sales,Other OpEx,24576.0,23585.62
2025-07-01,Marketing,Revenue,166208.0,166491.79
2025-07-01,Marketing,COGS,69807.36,72125.84
2025-07-01,Marketing,Payroll,184320.0,203276.25
2025-07-01,Marketing,Software,28672.0,31426.05
2025-07-01,Marketing,Travel,14336.0,14291.33
2025-07-01,Marketing,Facilities,19456.0,20168.51
2025-07-01,Marketing,Other OpEx,24576.0,24165.52
2025-07-01,R&D,Revenue,124656.0,120460.22
2025-07-01,R&D,COGS,52355.52,50879.55
2025-07-01,R&D,Payroll,258048.0,280606.33
2025-07-01,R&D,Software,40140.8,43743.2
2025-07-01,R&D,Travel,14336.0,15228.32
2025-07-01,R&D,Facilities,19456.0,21596.16
2025-07-01,R&D,Other OpEx,24576.0,23970.43
2025-07-01,Operations,Revenue,103880.0,100794.29
2025-07-01,Operations,COGS,43629.6,42411.49
2025-07-01,Operations,Payroll,184320.0,179718.0
2025-07-01,Operations,Software,28672.0,27605.86
2025-07-01,Operations,Travel,14336.0,14376.1
2025-07-01,Operations,Facilities,19456.0,20334.37
2025-07-01,Operations,Other OpEx,24576.0,25037.42
2025-07-01,G&A,Revenue,72716.0,71832.11
2025-07-01,G&A,COGS,30540.72,31201.65
2025-07-01,G&A,Payroll,184320.0,205776.19
2025-07-01,G&A,Software,28672.0,28972.93
2025-07-01,G&A,Travel,14336.0,13403.24
2025-07-01,G&A,Facilities,19456.0,18022.04
2025-07-01,G&A,Other OpEx,24576.0,26900.05
2025-08-01,Sales,Revenue,471870.0,450625.76
2025-08-01,Sales,COGS,198185.4,193679.89
2025-08-01,Sales,Payroll,185040.0,191352.9
2025-08-01,Sales,Software,28784.0,28260.31
2025-08-01,Sales,Travel,17270.4,18622.72
2025-08-01,Sales,Facilities,19532.0,18044.11
2025-08-01,Sales,Other OpEx,24672.0,23368.73
2025-08-01,Marketing,Revenue,167776.0,168544.4
2025-08-01,Marketing,COGS,70465.92,68406.35
2025-08-01,Marketing,Payroll,185040.0,200941.17
2025-08-01,Marketing,Software,28784.0,27848.0
2025-08-01,Marketing,Travel,14392.0,13646.13
2025-08-01,Marketing,Facilities,19532.0,18152.82
2025-08-01,Marketing,Other OpEx,24672.0,25802.87
2025-08-01,R&D,Revenue,125832.0,126282.19
2025-08-01,R&D,COGS,52849.44,53928.65
2025-08-01,R&D,Payroll,259056.0,272270.09
2025-08-01,R&D,Software,40297.6,43580.93
2025-08-01,R&D,Travel,14392.0,15999.47
2025-08-01,R&D,Facilities,19532.0,20643.34
2025-08-01,R&D,Other OpEx,24672.0,23681.87
2025-08-01,Operations,Revenue,104860.0,105595.81
2025-08-01,Operations,COGS,44041.2,43426.7
2025-08-01,Operations,Payroll,185040.0,170635.25
2025-08-01,Operations,Software,28784.0,29199.64
2025-08-01,Operations,Travel,14392.0,15296.31
2025-08-01,Operations,Facilities,19532.0,18669.07
2025-08-01,Operations,Other OpEx,24672.0,24042.15
2025-08-01,G&A,Revenue,73402.0,72777.26
2025-08-01,G&A,COGS,30828.84,31250.99
2025-08-01,G&A,Payroll,185040.0,189496.61
2025-08-01,G&A,Software,28784.0,30018.53
2025-08-01,G&A,Travel,14392.0,15417.31
2025-08-01,G&A,Facilities,19532.0,19506.67
2025-08-01,G&A,Other OpEx,24672.0,26605.95
2025-09-01,Sales,Revenue,476280.0,504260.71
2025-09-01,Sales,COGS,200037.6,205764.76
2025-09-01,Sales,Payroll,185760.0,205547.3
2025-09-01,Sales,Software,28896.0,30759.08
2025-09-01,Sales,Travel,17337.6,16401.06
2025-09-01,Sales,Facilities,19608.0,19817.95
2025-09-01,Sales,Other OpEx,24768.0,25885.28
2025-09-01,Marketing,Revenue,169344.0,179368.46
2025-09-01,Marketing,COGS,71124.48,75009.75
2025-09-01,Marketing,Payroll,185760.0,192031.78
2025-09-01,Marketing,Software,28896.0,31666.09
2025-09-01,Marketing,Travel,14448.0,15594.5
2025-09-01,Marketing,Facilities,19608.0,21742.36
2025-09-01,Marketing,Other OpEx,24768.0,25083.58
2025-09-01,R&D,Revenue,127008.0,130584.38
2025-09-01,R&D,COGS,53343.36,53823.13
2025-09-01,R&D,Payroll,260064.0,276808.77
2025-09-01,R&D,Software,40454.4,43839.18
2025-09-01,R&D,Travel,14448.0,15146.17
2025-09-01,R&D,Facilities,19608.0,20853.74
2025-09-01,R&D,Other OpEx,24768.0,23843.15
2025-09-01,Operations,Revenue,105840.0,111978.51
2025-09-01,Operations,COGS,44452.8,49194.09
2025-09-01,Operations,Payroll,185760.0,207210.02
2025-09-01,Operations,Software,28896.0,29687.5
2025-09-01,Operations,Travel,14448.0,15577.22
2025-09-01,Operations,Facilities,19608.0,19295.82
2025-09-01,Operations,Other OpEx,24768.0,27294.29
2025-09-01,G&A,Revenue,74088.0,77991.99
2025-09-01,G&A,COGS,31116.96,32538.08
2025-09-01,G&A,Payroll,185760.0,173974.37
2025-09-01,G&A,Software,28896.0,29132.38
2025-09-01,G&A,Travel,14448.0,14882.31
2025-09-01,G&A,Facilities,19608.0,21052.06
2025-09-01,G&A,Other OpEx,24768.0,25201.18
2025-10-01,Sales,Revenue,480690.0,458294.29
2025-10-01,Sales,COGS,201889.8,198588.04
2025-10-01,Sales,Payroll,186480.0,173950.66
2025-10-01,Sales,Software,29008.0,31327.83
2025-10-01,Sales,Travel,17404.8,16614.26
2025-10-01,Sales,Facilities,19684.0,19428.13
2025-10-01,Sales,Other OpEx,24864.0,26792.98
2025-10-01,Marketing,Revenue,170912.0,165247.98
2025-10-01,Marketing,COGS,71783.04,67785.32
2025-10-01,Marketing,Payroll,186480.0,190825.91
2025-10-01,Marketing,Software,29008.0,30885.2
2025-10-01,Marketing,Travel,14504.0,15780.28
2025-10-01,Marketing,Facilities,19684.0,20823.2
2025-10-01,Marketing,Other OpEx,24864.0,27577.89
2025-10-01,R&D,Revenue,128184.0,129351.72
2025-10-01,R&D,COGS,53837.28,56684.56
2025-10-01,R&D,Payroll,261072.0,244677.91
2025-10-01,R&D,Software,40611.2,39160.68
2025-10-01,R&D,Travel,14504.0,14871.43
2025-10-01,R&D,Facilities,19684.0,19251.62
2025-10-01,R&D,Other OpEx,24864.0,26499.27
2025-10-01,Operations,Revenue,106820.0,109668.31
2025-10-01,Operations,COGS,44864.4,46422.31
2025-10-01,Operations,Payroll,186480.0,203025.38
2025-10-01,Operations,Software,29008.0,29936.09
2025-10-01,Operations,Travel,14504.0,14247.85
2025-10-01,Operations,Facilities,19684.0,19610.06
2025-10-01,Operations,Other OpEx,24864.0,27078.19
2025-10-01,G&A,Revenue,74774.0,79115.6
2025-10-01,G&A,COGS,31405.08,32618.44
2025-10-01,G&A,Payroll,186480.0,203291.96
2025-10-01,G&A,Software,29008.0,32305.86
2025-10-01,G&A,Travel,14504.0,14864.35
2025-10-01,G&A,Facilities,19684.0,20365.02
2025-10-01,G&A,Other OpEx,24864.0,23874.25
2025-11-01,Sales,Revenue,485100.0,492041.02
2025-11-01,Sales,COGS,203742.0,207941.99
2025-11-01,Sales,Payroll,187200.0,194883.73
2025-11-01,Sales,Software,29120.0,26952.05
2025-11-01,Sales,Travel,17472.0,19461.73
2025-11-01,Sales,Facilities,19760.0,20218.5
2025-11-01,Sales,Other OpEx,24960.0,24962.92
2025-11-01,Marketing,Revenue,172480.0,180436.2
2025-11-01,Marketing,COGS,72441.6,76631.31
2025-11-01,Marketing,Payroll,187200.0,190608.55
2025-11-01,Marketing,Software,29120.0,30814.71
2025-11-01,Marketing,Travel,14560.0,13587.1
2025-11-01,Marketing,Facilities,19760.0,20308.2
2025-11-01,Marketing,Other OpEx,24960.0,25028.76
2025-11-01,R&D,Revenue,129360.0,137745.61
2025-11-01,R&D,COGS,54331.2,60238.86
2025-11-01,R&D,Payroll,262080.0,255224.71
2025-11-01,R&D,Software,40768.0,41364.53
2025-11-01,R&D,Travel,14560.0,13764.93
2025-11-01,R&D,Facilities,19760.0,19893.09
2025-11-01,R&D,Other OpEx,24960.0,27035.26
2025-11-01,Operations,Revenue,107800.0,114059.59
2025-11-01,Operations,COGS,45276.0,48096.49
2025-11-01,Operations,Payroll,187200.0,184100.52
2025-11-01,Operations,Software,29120.0,27905.41
2025-11-01,Operations,Travel,14560.0,15194.51
2025-11-01,Operations,Facilities,19760.0,21835.87
2025-11-01,Operations,Other OpEx,24960.0,23609.47
2025-11-01,G&A,Revenue,75460.0,78743.62
2025-11-01,G&A,COGS,31693.2,31953.96
2025-11-01,G&A,Payroll,187200.0,179491.35
2025-11-01,G&A,Software,29120.0,28113.96
2025-11-01,G&A,Travel,14560.0,15395.84
2025-11-01,G&A,Facilities,19760.0,19452.07
2025-11-01,G&A,Other OpEx,24960.0,24737.09
2025-12-01,Sales,Revenue,489510.0,501440.32
2025-12-01,Sales,COGS,205594.2,204924.11
2025-12-01,Sales,Payroll,187920.0,200356.31
2025-12-01,Sales,Software,29232.0,27611.28
2025-12-01,Sales,Travel,17539.2,17926.71
2025-12-01,Sales,Facilities,19836.0,19243.12
2025-12-01,Sales,Other OpEx,25056.0,24042.38
2025-12-01,Marketing,Revenue,174048.0,176422.4
2025-12-01,Marketing,COGS,73100.16,74148.07
2025-12-01,Marketing,Payroll,187920.0,187008.07
2025-12-01,Marketing,Software,29232.0,29310.35
2025-12-01,Marketing,Travel,14616.0,14994.11
2025-12-01,Marketing,Facilities,19836.0,18882.79
2025-12-01,Marketing,Other OpEx,25056.0,24075.14
2025-12-01,R&D,Revenue,130536.0,133898.32
2025-12-01,R&D,COGS,54825.12,57220.96
2025-12-01,R&D,Payroll,263088.0,269908.24
2025-12-01,R&D,Software,40924.8,44618.33
2025-12-01,R&D,Travel,14616.0,15234.87
2025-12-01,R&D,Facilities,19836.0,21648.07
2025-12-01,R&D,Other OpEx,25056.0,24217.42
2025-12-01,Operations,Revenue,108780.0,113010.74
2025-12-01,Operations,COGS,45687.6,48975.21
2025-12-01,Operations,Payroll,187920.0,206812.63
2025-12-01,Operations,Software,29232.0,28740.16
2025-12-01,Operations,Travel,14616.0,14367.49
2025-12-01,Operations,Facilities,19836.0,21909.92
2025-12-01,Operations,Other OpEx,25056.0,24144.68
2025-12-01,G&A,Revenue,76146.0,81461.18
2025-12-01,G&A,COGS,31981.32,35522.28
2025-12-01,G&A,Payroll,187920.0,177920.11
2025-12-01,G&A,Software,29232.0,28292.76
2025-12-01,G&A,Travel,14616.0,15570.65
2025-12-01,G&A,Facilities,19836.0,19278.6
2025-12-01,G&A,Other OpEx,25056.0,23537.69
