full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
RichardAtCT/claude-code-telegram,2753,2753,412,1,1,0,https://github.com/RichardAtCT/claude-code-telegram
fuergaosi233/claude-code-proxy,2768,2768,412,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
Yuyz0112/claude-code-reverse,2425,2425,413,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
fazxes/Claude-code,231,231,217,0,0,0,https://github.com/fazxes/Claude-code
asgeirtj/system_prompts_leaks,62779,62779,10314,11,11,0,https://github.com/asgeirtj/system_prompts_leaks
kodu-ai/claude-coder,5239,5239,200,0,0,0,https://github.com/kodu-ai/claude-coder
SeemSeam/claude_codex_bridge,3406,3406,333,2,2,0,https://github.com/SeemSeam/claude_codex_bridge
Windy3f3f3f3f/claude-code-from-scratch,2552,2552,525,0,0,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
Cranot/claude-code-guide,2861,2861,318,0,0,0,https://github.com/Cranot/claude-code-guide
multica-ai/andrej-karpathy-skills,201805,201805,20706,40,40,1,https://github.com/multica-ai/andrej-karpathy-skills
Chachamaru127/claude-code-harness,3054,3054,301,2,2,0,https://github.com/Chachamaru127/claude-code-harness
luyao618/Claude-Code-Source-Study,1659,1659,568,1,1,0,https://github.com/luyao618/Claude-Code-Source-Study
affaan-m/ECC,239665,239665,36378,48,48,8,https://github.com/affaan-m/ECC
https-deeplearning-ai/sc-claude-code-files,540,540,827,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
repowise-dev/claude-code-prompts,1184,1184,388,0,0,0,https://github.com/repowise-dev/claude-code-prompts
AprilNEA/claude-code-source,392,392,611,0,0,0,https://github.com/AprilNEA/claude-code-source
anthropics/skills,168464,168464,20068,29,29,7,https://github.com/anthropics/skills
anthropics/claude-code-base-action,943,943,611,0,0,0,https://github.com/anthropics/claude-code-base-action
huangjia2019/claude-code-engineering,1063,1063,375,0,0,0,https://github.com/huangjia2019/claude-code-engineering
jqueryscript/awesome-claude-code,497,497,517,0,0,-1,https://github.com/jqueryscript/awesome-claude-code
guanshan/ClaudeCode,61,61,211,0,0,0,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,373,373,546,0,0,0,https://github.com/JrCx7scC/claude-code-source
Yeachan-Heo/oh-my-claudecode,38524,38524,3463,5,5,0,https://github.com/Yeachan-Heo/oh-my-claudecode
Pimzino/claude-code-spec-workflow,3845,3845,276,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
edmund-io/edmunds-claude-code,1497,1497,284,0,0,0,https://github.com/edmund-io/edmunds-claude-code
krusemediallc/arcads-claude-code,1157,1157,299,1,1,1,https://github.com/krusemediallc/arcads-claude-code
disler/pi-vs-claude-code,1594,1594,371,0,0,1,https://github.com/disler/pi-vs-claude-code
digitalsamba/claude-code-video-toolkit,1928,1928,323,1,1,0,https://github.com/digitalsamba/claude-code-video-toolkit
feiskyer/claude-code-settings,1629,1629,246,0,0,0,https://github.com/feiskyer/claude-code-settings
VILA-Lab/Dive-into-Claude-Code,2049,2049,316,0,0,0,https://github.com/VILA-Lab/Dive-into-Claude-Code
andrew-kramer-inno/claude-code-source-build,593,593,513,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
AICoderTudou/claude-code-tudou,497,497,395,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
OrcaWhisper/Claude-Code,89,89,173,0,0,0,https://github.com/OrcaWhisper/Claude-Code
jeremylongshore/claude-code-plugins-plus-skills,2627,2627,385,5,5,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
darcyegb/ClaudeCodeAgents,756,756,69,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
xu-xiang/everything-claude-code-zh,1848,1848,305,1,1,1,https://github.com/xu-xiang/everything-claude-code-zh
KPR111/Claude-Code,18,18,325,0,0,0,https://github.com/KPR111/Claude-Code
centminmod/my-claude-code-setup,2573,2573,243,0,0,0,https://github.com/centminmod/my-claude-code-setup
Njengah/claude-code-cheat-sheet,1902,1902,259,0,0,0,https://github.com/Njengah/claude-code-cheat-sheet
luongnv89/claude-howto,40994,40994,5015,3,3,3,https://github.com/luongnv89/claude-howto
daymade/claude-code-skills,1331,1331,213,0,0,0,https://github.com/daymade/claude-code-skills
simonw/claude-code-transcripts,1663,1663,194,0,0,0,https://github.com/simonw/claude-code-transcripts
